pH,Redox,Leit,Trueb,Cl,Cl_2,EVENT
8.54,762,189,0.021,0.18,0.118,FALSE
8.53,762,189,0.021,0.18,0.118,FALSE
8.53,762,190,0.021,0.18,0.12,FALSE
8.51,762,189,0.021,0.18,0.121,FALSE
8.51,762,189,0.021,0.18,0.121,FALSE
8.51,762,190,0.021,0.18,0.121,FALSE
8.49,762,190,0.021,0.18,0.121,FALSE
8.49,762,189,0.021,0.18,0.122,FALSE
8.48,762,189,0.021,0.18,0.121,FALSE
8.47,763,189,0.021,0.17,0.121,FALSE
8.47,763,189,0.021,0.17,0.121,FALSE
8.47,763,190,0.021,0.17,0.121,FALSE
8.46,763,190,0.021,0.17,0.121,FALSE
8.45,763,189,0.021,0.17,0.12,FALSE
8.45,762,190,0.022,0.17,0.12,FALSE
8.45,763,189,0.021,0.17,0.121,FALSE
8.44,763,190,0.021,0.17,0.121,FALSE
8.44,764,190,0.025,0.17,0.12,FALSE
8.43,763,189,0.023,0.16,0.12,FALSE
8.43,764,190,0.021,0.16,0.121,FALSE
8.42,764,189,0.021,0.16,0.121,FALSE
8.42,763,189,0.021,0.16,0.12,FALSE
8.41,764,189,0.021,0.17,0.12,FALSE
8.41,764,190,0.021,0.17,0.121,FALSE
8.41,763,190,0.021,0.16,0.121,FALSE
8.41,764,189,0.021,0.16,0.121,FALSE
8.39,764,190,0.021,0.16,0.122,FALSE
8.4,764,190,0.022,0.17,0.122,FALSE
8.39,764,189,0.021,0.17,0.122,FALSE
8.39,764,190,0.021,0.17,0.122,FALSE
8.39,765,190,0.021,0.17,0.121,FALSE
8.39,764,190,0.022,0.17,0.122,FALSE
8.39,764,190,0.021,0.17,0.122,FALSE
8.39,764,190,0.02,0.17,0.122,FALSE
8.38,765,190,0.02,0.17,0.122,FALSE
8.38,764,190,0.021,0.17,0.122,FALSE
8.38,765,190,0.02,0.17,0.122,FALSE
8.38,764,190,0.02,0.17,0.121,FALSE
8.38,765,190,0.02,0.17,0.122,FALSE
8.38,765,190,0.02,0.17,0.122,FALSE
8.38,764,189,0.02,0.17,0.122,FALSE
8.38,765,190,0.02,0.17,0.122,FALSE
8.38,765,190,0.02,0.17,0.122,FALSE
8.38,764,189,0.021,0.17,0.12,FALSE
8.38,763,189,0.02,0.17,0.12,FALSE
8.38,763,190,0.021,0.17,0.12,FALSE
8.38,763,189,0.02,0.17,0.12,FALSE
8.38,764,190,0.021,0.17,0.118,FALSE
8.38,764,189,0.021,0.17,0.118,FALSE
8.39,763,190,0.021,0.17,0.117,FALSE
8.39,764,190,0.021,0.16,0.118,FALSE
8.39,764,190,0.021,0.16,0.118,FALSE
8.39,763,190,0.021,0.16,0.117,FALSE
8.39,764,190,0.021,0.16,0.116,FALSE
8.39,763,189,0.021,0.16,0.117,FALSE
8.39,763,189,0.021,0.16,0.117,FALSE
8.39,763,189,0.032,0.16,0.118,FALSE
8.39,763,190,0.02,0.16,0.118,FALSE
8.39,763,189,0.02,0.16,0.117,FALSE
8.39,763,189,0.02,0.16,0.116,FALSE
8.39,762,189,0.021,0.16,0.116,FALSE
8.39,763,190,0.02,0.16,0.117,FALSE
8.39,763,190,0.021,0.16,0.116,FALSE
8.39,763,189,0.021,0.16,0.117,FALSE
8.39,763,190,0.02,0.17,0.116,FALSE
8.39,763,190,0.021,0.17,0.116,FALSE
8.39,763,190,0.021,0.17,0.117,FALSE
8.39,763,189,0.021,0.17,0.116,FALSE
8.39,763,189,0.021,0.17,0.117,FALSE
8.39,762,189,0.021,0.17,0.117,FALSE
8.39,763,189,0.021,0.17,0.117,FALSE
8.39,762,189,0.02,0.17,0.116,FALSE
8.39,763,190,0.021,0.17,0.114,FALSE
8.39,762,189,0.022,0.17,0.114,FALSE
8.39,762,190,0.02,0.17,0.116,FALSE
8.39,762,190,0.02,0.17,0.114,FALSE
8.39,762,190,0.02,0.16,0.114,FALSE
8.39,762,189,0.02,0.16,0.114,FALSE
8.39,762,189,0.02,0.16,0.114,FALSE
8.39,762,190,0.021,0.16,0.114,FALSE
8.39,762,189,0.021,0.17,0.113,FALSE
8.39,762,190,0.021,0.16,0.113,FALSE
8.39,762,190,0.021,0.17,0.113,FALSE
8.4,762,190,0.021,0.16,0.111,FALSE
8.4,762,189,0.021,0.16,0.113,FALSE
8.39,762,189,0.021,0.16,0.111,FALSE
8.4,762,190,0.021,0.16,0.111,FALSE
8.4,762,189,0.021,0.16,0.111,FALSE
8.39,762,189,0.021,0.16,0.111,FALSE
8.4,762,189,0.021,0.16,0.11,FALSE
8.39,762,189,0.021,0.16,0.111,FALSE
8.39,762,189,0.021,0.16,0.111,FALSE
8.39,763,190,0.02,0.16,0.11,FALSE
8.39,762,189,0.02,0.16,0.111,FALSE
8.39,762,190,0.021,0.16,0.111,FALSE
8.39,762,189,0.021,0.16,0.111,FALSE
8.39,762,190,0.02,0.16,0.11,FALSE
8.39,762,190,0.021,0.16,0.11,FALSE
8.38,762,189,0.021,0.16,0.11,FALSE
8.38,762,189,0.02,0.16,0.11,FALSE
8.38,762,190,0.02,0.17,0.113,FALSE
8.38,762,190,0.02,0.17,0.11,FALSE
8.38,762,190,0.02,0.17,0.11,FALSE
8.38,762,189,0.021,0.17,0.11,FALSE
8.38,762,190,0.044,0.17,0.111,FALSE
8.38,762,190,0.021,0.17,0.11,FALSE
8.38,762,189,0.02,0.17,0.11,FALSE
8.38,762,189,0.02,0.17,0.11,FALSE
8.38,762,190,0.02,0.17,0.11,FALSE
8.38,762,190,0.02,0.17,0.11,FALSE
8.38,762,187,0.02,0.17,0.11,FALSE
8.39,762,190,0.021,0.16,0.11,FALSE
8.39,762,189,0.021,0.16,0.11,FALSE
8.39,762,190,0.021,0.16,0.11,FALSE
8.38,762,185,0.021,0.16,0.11,FALSE
8.38,762,189,0.021,0.16,0.11,FALSE
8.39,762,190,0.021,0.16,0.109,FALSE
8.39,762,187,0.02,0.16,0.11,FALSE
8.39,762,190,0.072,0.16,0.11,FALSE
8.39,762,185,0.029,0.16,0.109,FALSE
8.39,762,187,0.021,0.16,0.109,FALSE
8.39,762,190,0.02,0.16,0.109,FALSE
8.39,762,187,0.02,0.16,0.108,FALSE
8.39,762,190,0.02,0.16,0.109,FALSE
8.39,762,189,0.02,0.16,0.108,FALSE
8.39,762,185,0.02,0.16,0.108,FALSE
8.39,761,190,0.02,0.16,0.109,FALSE
8.39,762,187,0.02,0.16,0.106,FALSE
8.39,762,189,0.02,0.16,0.109,FALSE
8.39,762,185,0.022,0.16,0.108,FALSE
8.39,762,185,0.021,0.16,0.108,FALSE
8.39,762,187,0.021,0.16,0.108,FALSE
8.4,762,187,0.023,0.16,0.108,FALSE
8.4,761,187,0.021,0.16,0.106,FALSE
8.4,760,185,0.021,0.16,0.106,FALSE
8.41,761,190,0.02,0.16,0.108,FALSE
8.41,760,187,0.02,0.16,0.106,FALSE
8.41,761,189,0.021,0.16,0.108,FALSE
8.41,762,185,0.021,0.16,0.106,FALSE
8.41,761,187,0.02,0.16,0.106,FALSE
8.41,761,187,0.021,0.16,0.106,FALSE
8.42,761,187,0.021,0.16,0.106,FALSE
8.42,761,187,0.021,0.16,0.106,FALSE
8.42,761,187,0.021,0.16,0.106,FALSE
8.43,761,189,0.021,0.16,0.106,FALSE
8.43,760,187,0.021,0.16,0.106,FALSE
8.43,760,185,0.021,0.16,0.106,FALSE
8.43,760,187,0.022,0.16,0.106,FALSE
8.43,761,187,0.021,0.16,0.106,FALSE
8.43,760,187,0.021,0.16,0.106,FALSE
8.43,760,185,0.021,0.16,0.106,FALSE
8.43,761,189,0.021,0.16,0.106,FALSE
8.43,760,190,0.021,0.16,0.106,FALSE
8.43,761,187,0.021,0.16,0.105,FALSE
8.43,761,187,0.021,0.16,0.106,FALSE
8.43,760,189,0.021,0.16,0.106,FALSE
8.43,761,187,0.021,0.16,0.106,FALSE
8.42,760,187,0.021,0.16,0.105,FALSE
8.43,760,190,0.021,0.16,0.106,FALSE
8.43,761,187,0.021,0.16,0.106,FALSE
8.42,760,185,0.021,0.16,0.106,FALSE
8.42,761,187,0.02,0.16,0.106,FALSE
8.42,761,187,0.02,0.16,0.106,FALSE
8.41,761,187,0.02,0.16,0.106,FALSE
8.42,760,187,0.02,0.16,0.106,FALSE
8.41,761,187,0.02,0.16,0.106,FALSE
8.41,761,187,0.02,0.16,0.106,FALSE
8.41,761,185,0.021,0.16,0.106,FALSE
8.41,761,187,0.021,0.16,0.106,FALSE
8.41,761,187,0.02,0.16,0.106,FALSE
8.41,761,187,0.021,0.16,0.106,FALSE
8.41,761,187,0.02,0.16,0.106,FALSE
8.4,762,187,0.02,0.16,0.106,FALSE
8.4,762,187,0.021,0.16,0.106,FALSE
8.4,762,187,0.02,0.16,0.106,FALSE
8.39,761,185,0.021,0.16,0.106,FALSE
8.4,762,185,0.02,0.16,0.106,FALSE
8.39,762,187,0.02,0.16,0.106,FALSE
8.39,762,187,0.021,0.16,0.106,FALSE
8.39,761,185,0.02,0.16,0.106,FALSE
8.39,762,187,0.02,0.16,0.106,FALSE
8.39,761,185,0.02,0.16,0.106,FALSE
8.39,761,187,0.02,0.16,0.106,FALSE
8.39,761,187,0.02,0.16,0.106,FALSE
8.39,762,187,0.021,0.16,0.105,FALSE
8.39,761,187,0.02,0.16,0.105,FALSE
8.39,761,185,0.021,0.16,0.103,FALSE
8.39,761,187,0.02,0.16,0.105,FALSE
8.39,760,187,0.02,0.16,0.103,FALSE
8.39,761,189,0.021,0.16,0.105,FALSE
8.39,760,189,0.021,0.16,0.103,FALSE
8.39,761,185,0.021,0.16,0.105,FALSE
8.4,761,187,0.02,0.16,0.103,FALSE
8.39,761,189,0.02,0.16,0.105,FALSE
8.4,761,187,0.02,0.16,0.103,FALSE
8.39,761,190,0.02,0.16,0.105,FALSE
8.39,761,190,0.02,0.16,0.105,FALSE
8.39,762,189,0.02,0.16,0.103,FALSE
8.39,760,190,0.02,0.16,0.105,FALSE
8.39,761,185,0.02,0.16,0.103,FALSE
8.39,761,187,0.02,0.16,0.105,FALSE
8.39,761,187,0.02,0.16,0.105,FALSE
8.39,762,185,0.02,0.16,0.105,FALSE
8.39,762,187,0.02,0.16,0.105,FALSE
8.39,762,190,0.02,0.16,0.105,FALSE
8.39,761,185,0.02,0.16,0.106,FALSE
8.39,761,190,0.02,0.16,0.106,FALSE
8.39,762,189,0.02,0.16,0.105,FALSE
8.39,762,190,0.02,0.16,0.106,FALSE
8.39,761,185,0.019,0.16,0.106,FALSE
8.39,762,190,0.02,0.16,0.106,FALSE
8.39,761,187,0.02,0.16,0.106,FALSE
8.38,762,187,0.02,0.16,0.105,FALSE
8.39,761,190,0.021,0.16,0.105,FALSE
8.39,762,190,0.02,0.16,0.105,FALSE
8.39,762,189,0.02,0.16,0.105,FALSE
8.39,762,187,0.02,0.16,0.105,FALSE
8.39,762,190,0.02,0.16,0.105,FALSE
8.39,761,190,0.02,0.16,0.106,FALSE
8.39,762,190,0.02,0.16,0.105,FALSE
8.39,761,189,0.02,0.16,0.105,FALSE
8.39,761,189,0.02,0.16,0.105,FALSE
8.39,761,189,0.02,0.16,0.103,FALSE
8.39,761,190,0.02,0.16,0.105,FALSE
8.39,762,190,0.02,0.16,0.105,FALSE
8.39,761,190,0.02,0.16,0.103,FALSE
8.39,762,190,0.021,0.16,0.103,FALSE
8.39,762,189,0.021,0.16,0.103,FALSE
8.39,760,189,0.021,0.16,0.103,FALSE
8.39,761,189,0.021,0.16,0.102,FALSE
8.39,761,190,0.021,0.16,0.103,FALSE
8.38,761,190,0.021,0.16,0.103,FALSE
8.38,761,189,0.021,0.16,0.105,FALSE
8.38,761,190,0.027,0.16,0.103,FALSE
8.38,762,189,0.021,0.16,0.103,FALSE
8.38,761,189,0.02,0.16,0.103,FALSE
8.38,761,189,0.02,0.16,0.103,FALSE
8.38,761,190,0.02,0.16,0.103,FALSE
8.38,762,189,0.02,0.16,0.105,FALSE
8.38,762,190,0.02,0.16,0.103,FALSE
8.39,761,190,0.021,0.16,0.105,FALSE
8.39,761,189,0.02,0.16,0.103,FALSE
8.39,762,190,0.02,0.16,0.105,FALSE
8.39,762,189,0.021,0.16,0.103,FALSE
8.39,762,189,0.02,0.16,0.103,FALSE
8.39,761,190,0.02,0.16,0.105,FALSE
8.39,762,190,0.02,0.16,0.105,FALSE
8.39,762,190,0.02,0.16,0.103,FALSE
8.39,761,189,0.02,0.16,0.103,FALSE
8.39,762,189,0.02,0.16,0.105,FALSE
8.4,761,189,0.02,0.16,0.103,FALSE
8.4,761,189,0.02,0.16,0.103,FALSE
8.4,761,190,0.026,0.16,0.103,FALSE
8.4,761,189,0.02,0.16,0.103,FALSE
8.4,760,189,0.02,0.16,0.105,FALSE
8.41,761,190,0.02,0.16,0.103,FALSE
8.4,761,189,0.02,0.16,0.103,FALSE
8.4,761,189,0.02,0.16,0.105,FALSE
8.4,761,190,0.02,0.16,0.103,FALSE
8.4,761,189,0.02,0.16,0.103,FALSE
8.4,761,189,0.02,0.16,0.103,FALSE
8.39,761,190,0.02,0.16,0.103,FALSE
8.39,761,189,0.02,0.16,0.103,FALSE
8.39,761,190,0.02,0.16,0.103,FALSE
8.39,762,190,0.02,0.16,0.103,FALSE
8.39,762,190,0.02,0.16,0.103,FALSE
8.39,762,189,0.02,0.16,0.103,FALSE
8.39,762,190,0.021,0.16,0.103,FALSE
8.39,762,190,0.021,0.16,0.103,FALSE
8.39,762,190,0.021,0.16,0.103,FALSE
8.39,762,189,0.021,0.16,0.105,FALSE
8.39,762,189,0.021,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.103,FALSE
8.38,762,190,0.021,0.16,0.103,FALSE
8.39,762,189,0.021,0.16,0.105,FALSE
8.39,762,189,0.021,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.103,FALSE
8.39,762,190,0.021,0.16,0.106,FALSE
8.39,762,189,0.021,0.17,0.106,FALSE
8.39,762,190,0.021,0.17,0.106,FALSE
8.39,762,190,0.02,0.17,0.105,FALSE
8.39,761,190,0.023,0.17,0.106,FALSE
8.39,762,189,0.021,0.16,0.106,FALSE
8.39,762,189,0.02,0.16,0.106,FALSE
8.39,762,189,0.021,0.16,0.106,FALSE
8.39,762,189,0.021,0.16,0.105,FALSE
8.39,761,189,0.021,0.16,0.106,FALSE
8.39,762,190,0.021,0.16,0.106,FALSE
8.39,762,189,0.02,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.105,FALSE
8.39,762,189,0.021,0.16,0.106,FALSE
8.39,762,190,0.021,0.16,0.105,FALSE
8.39,761,190,0.021,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.105,FALSE
8.39,762,189,0.021,0.16,0.103,FALSE
8.39,762,189,0.02,0.16,0.103,FALSE
8.39,762,189,0.02,0.16,0.105,FALSE
8.39,761,190,0.02,0.16,0.103,FALSE
8.39,762,189,0.021,0.16,0.105,FALSE
8.39,762,190,0.02,0.16,0.103,FALSE
8.39,761,189,0.02,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.105,FALSE
8.39,761,189,0.02,0.16,0.103,FALSE
8.39,761,190,0.021,0.16,0.105,FALSE
8.39,761,189,0.02,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.103,FALSE
8.39,762,190,0.02,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.103,FALSE
8.4,761,189,0.021,0.16,0.105,FALSE
8.39,762,190,0.02,0.16,0.103,FALSE
8.39,761,189,0.02,0.17,0.103,FALSE
8.39,762,190,0.02,0.17,0.105,FALSE
8.4,762,190,0.02,0.17,0.105,FALSE
8.39,762,190,0.02,0.17,0.105,FALSE
8.39,761,189,0.02,0.17,0.106,FALSE
8.39,762,190,0.02,0.17,0.105,FALSE
8.39,761,189,0.021,0.16,0.105,FALSE
8.39,762,189,0.02,0.16,0.105,FALSE
8.39,762,189,0.02,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.105,FALSE
8.39,761,189,0.02,0.16,0.103,FALSE
8.39,762,189,0.021,0.17,0.106,FALSE
8.39,762,190,0.021,0.16,0.106,FALSE
8.39,762,190,0.021,0.16,0.105,FALSE
8.39,762,190,0.02,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.103,FALSE
8.39,762,189,0.021,0.16,0.105,FALSE
8.38,762,189,0.021,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.105,FALSE
8.38,762,190,0.021,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.105,FALSE
8.38,762,190,0.021,0.16,0.103,FALSE
8.38,762,189,0.02,0.16,0.105,FALSE
8.39,761,189,0.021,0.16,0.103,FALSE
8.39,762,189,0.021,0.16,0.103,FALSE
8.39,761,189,0.021,0.16,0.103,FALSE
8.39,762,189,0.02,0.16,0.103,FALSE
8.39,762,189,0.02,0.16,0.103,FALSE
8.39,761,189,0.02,0.16,0.105,FALSE
8.39,761,189,0.02,0.16,0.103,FALSE
8.39,761,190,0.022,0.16,0.105,FALSE
8.39,762,190,0.02,0.16,0.103,FALSE
8.39,761,190,0.021,0.16,0.105,FALSE
8.39,761,189,0.02,0.16,0.105,FALSE
8.39,761,189,0.02,0.16,0.103,FALSE
8.39,761,190,0.02,0.16,0.106,FALSE
8.39,762,190,0.021,0.16,0.106,FALSE
8.39,762,189,0.021,0.16,0.105,FALSE
8.39,761,189,0.02,0.17,0.105,FALSE
8.39,761,189,0.021,0.16,0.106,FALSE
8.39,762,190,0.021,0.17,0.105,FALSE
8.39,762,189,0.021,0.17,0.106,FALSE
8.39,761,190,0.021,0.16,0.105,FALSE
8.39,761,189,0.021,0.16,0.105,FALSE
8.39,761,190,0.02,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.105,FALSE
8.39,761,189,0.021,0.16,0.105,FALSE
8.39,761,189,0.021,0.16,0.106,FALSE
8.39,761,190,0.022,0.16,0.105,FALSE
8.39,762,189,0.026,0.16,0.105,FALSE
8.39,761,190,0.021,0.16,0.105,FALSE
8.39,762,189,0.021,0.16,0.105,FALSE
8.39,762,189,0.021,0.16,0.106,FALSE
8.39,761,190,0.021,0.16,0.106,FALSE
8.39,761,190,0.021,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.105,FALSE
8.39,761,190,0.021,0.16,0.105,FALSE
8.39,761,190,0.021,0.16,0.103,FALSE
8.39,762,189,0.021,0.16,0.103,FALSE
8.39,761,189,0.024,0.16,0.103,FALSE
8.39,762,190,0.021,0.16,0.105,FALSE
8.39,762,189,0.02,0.16,0.105,FALSE
8.39,762,189,0.12,0.16,0.105,FALSE
8.39,762,190,0.023,0.16,0.106,FALSE
8.39,761,189,0.02,0.16,0.103,FALSE
8.39,762,190,0.02,0.16,0.105,FALSE
8.39,761,189,0.021,0.16,0.105,FALSE
8.39,762,190,0.02,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.106,FALSE
8.39,762,190,0.02,0.16,0.106,FALSE
8.39,762,189,0.02,0.17,0.106,FALSE
8.39,762,189,0.021,0.17,0.106,FALSE
8.39,762,190,0.02,0.17,0.106,FALSE
8.39,762,190,0.021,0.17,0.106,FALSE
8.39,762,190,0.021,0.17,0.106,FALSE
8.39,762,189,0.021,0.16,0.106,FALSE
8.39,762,190,0.021,0.16,0.106,FALSE
8.39,762,190,0.021,0.16,0.106,FALSE
8.39,762,189,0.021,0.16,0.106,FALSE
8.38,762,190,0.021,0.16,0.106,FALSE
8.39,761,189,0.021,0.16,0.106,FALSE
8.38,762,189,0.021,0.16,0.106,FALSE
8.39,762,190,0.021,0.16,0.106,FALSE
8.38,762,190,0.02,0.16,0.106,FALSE
8.39,762,190,0.02,0.16,0.106,FALSE
8.39,762,189,0.02,0.16,0.106,FALSE
8.38,762,189,0.02,0.16,0.106,FALSE
8.38,762,190,0.022,0.16,0.106,FALSE
8.38,762,189,0.02,0.16,0.105,FALSE
8.39,762,189,0.02,0.16,0.106,FALSE
8.38,762,190,0.02,0.16,0.106,FALSE
8.38,762,190,0.021,0.16,0.106,FALSE
8.38,762,190,0.02,0.16,0.105,FALSE
8.38,762,189,0.02,0.16,0.105,FALSE
8.38,762,189,0.02,0.16,0.105,FALSE
8.38,762,189,0.021,0.16,0.105,FALSE
8.38,762,189,0.021,0.16,0.106,FALSE
8.38,762,189,0.021,0.16,0.106,FALSE
8.38,762,189,0.02,0.16,0.106,FALSE
8.38,762,190,0.02,0.16,0.106,FALSE
8.38,762,189,0.02,0.16,0.106,FALSE
8.38,762,190,0.02,0.16,0.106,FALSE
8.38,762,190,0.021,0.16,0.106,FALSE
8.38,762,189,0.021,0.16,0.105,FALSE
8.38,762,190,0.021,0.16,0.106,FALSE
8.38,762,190,0.021,0.16,0.106,FALSE
8.38,762,190,0.021,0.16,0.106,FALSE
8.38,762,190,0.021,0.16,0.106,FALSE
8.38,762,190,0.021,0.17,0.106,FALSE
8.38,762,190,0.021,0.17,0.106,FALSE
8.38,762,189,0.021,0.17,0.106,FALSE
8.38,762,190,0.021,0.17,0.106,FALSE
8.38,762,190,0.021,0.17,0.106,FALSE
8.38,762,190,0.021,0.17,0.106,FALSE
8.38,762,190,0.021,0.17,0.106,FALSE
8.38,762,189,0.021,0.16,0.106,FALSE
8.38,761,190,0.02,0.16,0.106,FALSE
8.38,762,189,0.021,0.16,0.106,FALSE
8.39,762,190,0.021,0.16,0.105,FALSE
8.39,762,189,0.021,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.105,FALSE
8.39,762,189,0.021,0.16,0.105,FALSE
8.38,762,189,0.021,0.15,0.105,FALSE
8.39,762,190,0.021,0.15,0.105,FALSE
8.39,762,189,0.021,0.15,0.105,FALSE
8.39,761,190,0.021,0.15,0.105,FALSE
8.39,761,189,0.089,0.15,0.103,FALSE
8.39,762,190,0.021,0.15,0.105,FALSE
8.39,762,190,0.021,0.16,0.105,FALSE
8.39,762,189,0.02,0.16,0.103,FALSE
8.39,762,189,0.021,0.16,0.105,FALSE
8.39,762,189,0.021,0.16,0.105,FALSE
8.39,762,189,0.02,0.16,0.103,FALSE
8.39,762,189,0.02,0.16,0.105,FALSE
8.39,762,189,0.02,0.16,0.105,FALSE
8.39,762,190,0.02,0.15,0.103,FALSE
8.39,761,190,0.02,0.15,0.105,FALSE
8.39,761,190,0.02,0.15,0.103,FALSE
8.39,761,190,0.021,0.15,0.105,FALSE
8.39,761,190,0.021,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.105,FALSE
8.39,761,189,0.023,0.16,0.106,FALSE
8.39,761,190,0.021,0.16,0.105,FALSE
8.39,762,189,0.021,0.16,0.106,FALSE
8.39,762,189,0.021,0.16,0.106,FALSE
8.39,761,189,0.021,0.16,0.106,FALSE
8.39,761,189,0.021,0.16,0.106,FALSE
8.39,762,190,0.02,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.106,FALSE
8.39,762,189,0.021,0.16,0.105,FALSE
8.39,762,189,0.021,0.16,0.105,FALSE
8.39,762,189,0.02,0.16,0.103,FALSE
8.39,762,189,0.021,0.16,0.106,FALSE
8.39,762,189,0.021,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.105,FALSE
8.39,762,190,0.021,0.16,0.106,FALSE
8.39,762,190,0.021,0.16,0.105,FALSE
8.39,762,189,0.021,0.16,0.105,FALSE
8.39,762,189,0.021,0.16,0.103,FALSE
8.39,762,190,0.021,0.16,0.103,FALSE
8.39,761,189,0.02,0.16,0.103,FALSE
8.39,761,189,0.021,0.16,0.103,FALSE
8.39,761,189,0.02,0.16,0.105,FALSE
8.39,761,189,0.021,0.16,0.103,FALSE
8.39,762,190,0.02,0.16,0.104,FALSE
8.39,761,190,0.023,0.16,0.103,FALSE
8.39,761,189,0.021,0.16,0.103,FALSE
8.39,760,189,0.02,0.16,0.103,FALSE
8.39,760,189,0.02,0.16,0.103,FALSE
8.39,761,190,0.02,0.16,0.103,FALSE
8.39,761,189,0.02,0.16,0.103,FALSE
8.4,760,189,0.02,0.16,0.103,FALSE
8.4,761,189,0.02,0.16,0.103,FALSE
8.39,762,189,0.021,0.17,0.103,FALSE
8.4,761,190,0.021,0.17,0.103,FALSE
8.4,760,189,0.02,0.17,0.103,FALSE
